id,title,content,link,url_hash,language,source,category,vector,created_at,updated_at,split_type,cluster_label
134,"ARO Journal Leads Kurdistan Region's Scopus-Indexed Publications with Highest CiteScore","Koya University's scientific journal achieves remarkable 2.4 CiteScore, outperforming regional peers",https://koyauniversity.org/node/1337,778358919d759d84276f3c7f4ab8dc11f6048bf256cb7d858220f9ee490258a1,en,Koya University,Events,,,,train,
135,Koya University Hosted a Workshop on Securing Financial Support for Higher Education and International Scientific Participation,Koya University Hosted a Workshop on Securing Financial Support for Higher Education and International Scientific Participation,https://koyauniversity.org/node/1224,026faca9cb81324ef5cb5c95cfa2c2d162e1dd93e81b3271c02fde7ac6a8dedb,en,Koya University,Research,,,,train,
136,"Lecturer ""Sara Jamal Mohammed"" from the Faculty of Education at Koya University Participates in an International Conference","Lecturer ""Sara Jamal Mohammed"" from the Department of English Language at the Faculty of Education, Koya University, participated in the international conference ""8th Doctoral Conference, Reimagining Crises: Turning Points in Language Studies and Literary Narratives.""",https://koyauniversity.org/node/1156,95612f9e7158dca16e3f64acdf7cb27b6b0fa3be7cd91ea606249dc072990f5b,en,Koya University,Research,,,,train,
137,"In the Presence of Koya University's President, an Exhibition Opens at the Central Library Directorate","The Directorate of the Central Library at Koya University, in commemoration of the anniversary of its establishment, organized a special exhibition showcasing the works of caricaturist and artist ""Jabar Sabir Qadir,"" known as ""Jabar Lasi.""",https://koyauniversity.org/node/1173,b97a08b0f84d31c69d204aba9d461d46c3c5eb16c39c2575114750af547840d3,en,Koya University,Research,,,,train,
138,"Koya University's Health and Safety Directorate Organizes a Training Workshop in Coordination with the Anti-Drug Unit","The Health and Safety Directorate of Koya University, in coordination with the Anti-Drug Unit of the East Erbil Asayish Directorate, organized a training Course.",https://koyauniversity.org/node/1174,95a4442f89384da78ea20fcb54a13626f7badd18464597f91328db5e082baea7,en,Koya University,Research,,,,train,
139,"Koya University's Directorate of Sports and Arts Hosts a Sports Activity for Children with Autism in Partnership with the ""Lanwe"" Organization","In collaboration with the ""Lanwe"" Organization for Autism Support, Koya University's Directorate of Sports and Arts organized a special sports event designed for children with autism, featuring a variety of engaging games and activities.",https://koyauniversity.org/node/1177,17d5d8d7abc24f0eb0b07ccf89f99ea1bb07707ba0feaedcb62987bc28414be7,en,Koya University,Research,,,,train,
140,"Workshop ""The Novel and Its Impact on Raising Social Awareness"" at Koya University","The Arabic Language Department at the Faculty of Education, Koya University, organized a workshop titled ""The Novel and Its Impact on Raising Social Awareness.""",https://koyauniversity.org/node/1193,b99833daf59a2562fd23d6800c63972ed6a08f25805d82a8437cad635f4cf3a2,en,Koya University,Research,,,,train,
141,The Scientific Work Exhibition for Fourth-Year Students of the Business Administration Department at Koya University was Successfully Held,A scientific work exhibition for fourth-year students of the Business Administration Department was held at Koya University.,https://koyauniversity.org/node/1192,943809cce615a1e279d14a19fcf8205b8c3e78a8598b266d1ec67cb2af88b153,en,Koya University,Research,,,,train,
142,Four Petroleum Engineering Students from Koya University Represent the Kurdistan Region and Iraq in a Program in the UAE,"Four students from the Petroleum Engineering Department at Koya University's Faculty of Engineering — ""Sarwa Salam Ali,"" ""Fria Rebwar Asaad,"" ""Ahmed Sardar Khurshid,"" and ""Jihan Mahmood Rostam"" — participated as representatives of the Kurdistan Region and Iraq in a scientific development program in the field of oil and gas, held in Abu Dhabi, the capital of the United Arab Emirates.",https://koyauniversity.org/node/1171,ab99e235987430b0a8638194f431bedb3599100dd92a01a3e975fc331ada8da6,en,Koya University,Research,,,,train,
143,A Koya University Medical Student Discovers and Corrects Errors in Key Pediatrics Textbooks,"Mohammed Fadel Magdid, a student from the Faculty of Medicine at Koya University, was able to identify two errors in two major textbooks in the field of pediatric medicine and childhood diseases and contacted the publishing company to have the errors corrected in the next print editions.",https://koyauniversity.org/node/1202,818eec5239e7990b48c504b122cd48192efd13dc8b7fcf95209843842b17ef81,en,Koya University,Research,,,,train,
144,"Scientific Seminar ""Women on the Path to Freedom and Awareness"" Held at Koya University","The ""Malay Gawra"" Research Center, affiliated with the Deanship of Research and Development Centers at Koya University, organized a scientific seminar titled ""Women on the Path to Freedom and Awareness.""",https://koyauniversity.org/node/1182,8124440c936389edc259cc3c9361d85bc9ecad757bce38ebbae8eab060582ab5,en,Koya University,Research,,,,train,
